distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
2.3013562,2,11,74,75,5.616666666666666
2.7680648,1,14,74,236,11.95
0.9495106,1,13,42,41,7.0
10.2675892,1,3,95,145,17.866666666666667
2.1887024,1,9,74,75,10.4
6.0028382,1,16,82,138,9.383333333333333
3.9911632,1,14,74,238,18.25
3.7014819999999995,3,16,75,141,15.516666666666667
2.4944770000000003,1,15,41,43,10.483333333333333
4.409591600000001,1,19,74,236,10.9
3.8624159999999996,1,11,74,263,17.4
10.7503912,2,20,75,129,36.1
0.9012304000000001,1,8,166,166,2.0
1.9955816,1,21,7,223,6.633333333333334
3.5083612000000004,2,14,43,239,13.966666666666667
8.3524746,1,11,43,146,32.016666666666666
6.5500138,6,9,75,68,17.15
3.6371084,1,11,24,142,11.083333333333334
3.3474272000000003,1,21,74,236,11.55
4.02335,1,20,74,263,12.916666666666666
3.0094658,1,15,75,141,15.733333333333333
3.6853886,1,11,130,10,13.7
3.621015,1,13,75,163,24.533333333333335
2.2852628,1,11,74,41,6.383333333333334
2.3013562,1,23,74,75,7.066666666666666
4.007256600000001,1,16,75,140,15.266666666666667
3.1703997999999998,1,23,95,197,9.533333333333333
2.5427572,1,12,74,42,10.616666666666667
3.0094658,5,13,95,196,14.766666666666667
4.667085999999999,1,19,74,239,15.683333333333334
13.309241799999999,1,23,66,161,26.033333333333335
1.6415268,2,17,129,260,5.483333333333333
2.2369825999999997,1,9,74,43,8.4
2.7519714,1,20,74,75,9.7
1.9312079999999998,2,7,74,75,9.183333333333334
8.1593538,1,20,130,132,14.883333333333333
5.9384646,1,19,74,163,22.35
2.1887024,6,15,75,74,6.933333333333334
2.2047958000000003,4,22,75,74,4.633333333333334
4.3291246,2,9,74,238,14.95
3.3474272000000003,1,23,65,40,11.8
2.2208892,1,6,74,75,8.5
2.7036911999999997,1,18,66,65,10.266666666666667
2.5910374000000003,1,2,129,70,15.633333333333333
5.8901844,1,7,129,145,28.383333333333333
0.5793623999999999,1,22,75,236,1.2833333333333334
3.057746,1,10,74,166,14.083333333333334
1.3357522,1,18,82,82,16.35
2.5105704,1,15,75,238,12.05
9.479012599999999,1,0,255,231,19.416666666666668
1.3518455999999999,1,8,75,41,4.7
3.0416526,1,17,75,74,7.316666666666666
4.473965199999999,2,17,74,262,16.183333333333334
1.448406,1,9,75,236,5.65
2.735878,4,12,75,166,10.616666666666667
3.7014819999999995,1,16,74,116,19.416666666666668
2.6875978,1,16,74,236,9.45
1.3035654,1,16,95,95,8.0
0.8368568000000001,2,15,116,116,4.983333333333333
3.621015,2,11,97,17,20.333333333333332
3.7175754,1,16,43,142,14.633333333333333
5.809717399999999,1,10,74,244,13.466666666666667
2.4622902,1,8,74,166,11.116666666666667
1.5127796,1,9,42,247,5.633333333333334
5.2142616,2,9,74,140,21.533333333333335
1.448406,1,18,75,263,6.0
2.9129054,1,19,75,74,8.25
2.2047958000000003,1,17,74,75,6.65
14.9346752,1,7,132,191,21.016666666666666
2.2691694,1,9,74,75,19.316666666666666
1.2230984,1,13,74,42,8.533333333333333
5.1820748000000005,3,19,129,7,18.166666666666668
1.4805928000000002,2,18,260,226,5.5
2.0277684,1,16,75,74,4.816666666666666
3.0094658,2,12,75,166,13.183333333333334
0.5632689999999999,1,17,236,236,3.033333333333333
1.4162192,5,7,74,75,5.2
4.184284,1,1,226,82,13.3
3.3152404,1,21,74,116,11.65
3.138213,1,7,74,166,13.916666666666666
1.7541806000000002,1,17,43,236,10.416666666666666
4.1360038,1,13,74,238,11.883333333333333
2.5427572,1,17,75,236,11.75
3.1864932,1,17,43,236,10.683333333333334
6.195959,1,6,152,142,9.116666666666667
5.6648768,1,12,74,244,17.016666666666666
5.4234758,2,16,74,239,21.9
9.2054248,1,14,43,234,40.083333333333336
1.4966862,1,17,43,238,5.133333333333334
2.5427572,1,14,75,263,8.95
7.0810960000000005,1,8,74,170,27.35
2.8646252,1,10,74,75,12.066666666666666
1.6576202,2,16,75,74,7.55
10.8952318,1,6,74,138,14.15
3.8785094,1,14,74,263,18.333333333333332
6.2281458,1,16,82,138,14.733333333333333
2.8324384,1,8,74,75,16.7
5.6005032,1,7,74,142,23.583333333333332
3.8624159999999996,1,21,75,152,14.166666666666666
6.3247062000000005,1,15,75,186,31.65
4.8119266000000005,1,18,75,48,14.583333333333334
2.4461968,1,15,95,95,20.366666666666667
3.5888282,1,8,74,236,16.183333333333334
8.690436,1,7,74,213,19.266666666666666
2.3013562,1,15,95,134,11.8
4.6348991999999996,1,15,166,142,12.816666666666666
5.3269154,1,19,66,49,19.683333333333334
2.2047958000000003,1,18,75,74,5.0
3.6853886,1,19,166,236,15.316666666666666
4.9889540000000006,1,15,166,263,18.5
9.237611600000001,1,0,75,7,22.9
4.9889540000000006,1,9,74,244,23.7
2.7036911999999997,2,19,166,152,9.5
4.6831794,1,11,74,239,29.383333333333333
